feature,model,out,mean_abs_impact,feat_shap_corr,feat_shap_spear,feat_shap_corr_org,rank
PC2,RIDGE,se36_mean_pt1_sleep,0.0650100791636296,0.957485556214171,0.9544313440957737,0.957485556214171,26
coag_r_fm1_co,RIDGE,se36_mean_pt1_sleep,0.05638230150305531,-0.8684939868214157,-0.9271720362795265,-0.8684939868214157,27
coag_b_fm1_co,RIDGE,se36_mean_pt1_sleep,0.05282041397627742,0.906904647360353,0.9751579215217474,0.906904647360353,28
PC8,RIDGE,se36_mean_pt1_sleep,0.05063158797877195,0.8750123647802545,0.9256003315805834,0.8750123647802545,29
PC5,RIDGE,se36_mean_pt1_sleep,0.048355389528426926,-0.6051048596660208,-0.6857464175584981,-0.6051048596660208,30
PC15,RIDGE,se36_mean_pt1_sleep,0.03992484043362305,-0.5844291033784286,-0.5026120079811355,-0.5844291033784286,31
PC12,RIDGE,se36_mean_pt1_sleep,0.03517494833043816,-0.5087152359993903,-0.7105496100126973,-0.5087152359993903,32
PC10,RIDGE,se36_mean_pt1_sleep,0.03295901157262316,,0.15593324868492653,0.11593543220307576,33
PC13,RIDGE,se36_mean_pt1_sleep,0.029253885445092144,-0.3957573263121696,0.23468891710502449,-0.3957573263121696,34
PC20,RIDGE,se36_mean_pt1_sleep,0.023396539177909077,-0.25435508039957344,-0.15099220025394522,-0.25435508039957344,35
PC16,RIDGE,se36_mean_pt1_sleep,0.01984132414158199,-0.3151194693042663,-0.6964012334482133,-0.3151194693042663,36
PC18,RIDGE,se36_mean_pt1_sleep,0.019019129234567066,-0.4270663382410458,-0.5430110647560311,-0.4270663382410458,37
PC17,RIDGE,se36_mean_pt1_sleep,0.016436585985951723,-0.5765834323761341,-0.48980954108470887,-0.5765834323761341,38
PC11,RIDGE,se36_mean_pt1_sleep,0.014272291522160216,-0.7464876551663455,-0.7843714855795392,-0.7464876551663455,39
PC21,LR,se36_mean_pt1_sleep,0.5528120909977111,0.3848972265480872,,0.3848972265480872,1
HFP_r_pt1_mean_cardio,LR,se36_mean_pt1_sleep,0.46878179123508745,0.9956738857253662,0.9954219634637315,0.9956738857253662,2
HFP_s_fm1_cardio,LR,se36_mean_pt1_sleep,0.3316931841022498,0.9924039001371209,0.9942376100531752,0.9924039001371209,3
HFP_p_pt1_cardio,LR,se36_mean_pt1_sleep,0.3295991978306316,-0.9909176250233795,-0.9905902435998726,-0.9909176250233795,4
coag_p_fm1_co,LR,se36_mean_pt1_sleep,0.2710672426894259,0.9952024325465206,0.9927035201678832,0.9952024325465206,5
HFP_s_pt1_cardio,LR,se36_mean_pt1_sleep,0.24978039626028337,-0.9834031573201649,-0.9869828337042812,-0.9834031573201649,6
HFP_sp2_fm1_cardio,LR,se36_mean_pt1_sleep,0.24760876960737152,-0.9826760321767438,-0.9880594803493462,-0.9826760321767438,7
